ko,from,name,description,disease_category,drug_recommended
H01293,D05866,Narcolepsy,"Narcolepsy is a disabling sleep disorder characterized by irresistible excessive daytime sleepiness and cataplexy, a condition triggered by strong emotions leading to a sudden loss of muscle tone. Narcolepsy is a rare and mainly sporadic disorder. Familial narcolepsy accounts for less than 10% of all narcolepsy cases, and causative mutations have not been identified to date. The discovery of hypocretin-1 (HCRT) deficiency shed light on the underlying pathophysiology of the disease. The hypocretin neurotransmission system was shown to play a major role in controlling vigilance states. Because of the strong HLA association, hypocretin deficiency is believed to be caused by an autoimmune attack. It has also been reported that a missense mutation in myelin oligodendrocyte glycoprotein (MOG) is the cause of narcolepsy.",Nervous system disease,Sodium oxybate
H00350,D00290,Psittacosis,"Psittacosis, also known as parrot disease, is an infectious disease caused by Chlamydophila psittaci, a gram-negative intracellular bacterium that is usually transmitted to humans from birds. Symptoms typically include high fevers, headache, myalgias, and a nonproductive cough. Although pneumonia is the most common manifestation, all organ systems can be involved.",Infectious disease,Demeclocycline hydrochloride
H01563,D11382,HIV infection,"The human immunodeficiency virus (HIV) is a lentivirus (a subgroup of retrovirus) that causes HIV infection and over time acquired immunodeficiency syndrome (AIDS). Two types of HIV has been characterized. HIV-1 is the most virulent and pathogenic strain. Worldwide, the predominant virus is HIV-1. The relatively uncommon HIV-2 type is concentrated in West Africa and is rarely found elsewhere. Infection with HIV occurs by transfer of blood, semen, and breast milk. The identification of HIV as the causative agent of AIDS catalyzed efforts to develop antiviral agents. The licenced anti-HIV drugs fall into some categories: reverse transcriptase inhibitors (NRTIs and NNRTIs), integrase inhibitors, protease inhibitors (PIs), fusion inhibitors (FIs), and coreceptor inhibitors. The advent of highly active antiretroviral therapy (HAART) as the standard of care for the treatment of HIV infection was seminal in reducing the morbidity and mortality associated with HIV infection and progression to AIDS. Combination antiretroviral therapy dramatically suppresses HIV replication and reduces the plasma HIV-1 viral load, resulting in significant reconstitution of the immune system.",Infectious disease,"Darunavir, cobicistat, emtricitabine and tenofovir alafenamide"
H01652,D01619,Seborrheic dermatitis,"Seborrheic dermatitis (SD) is a common inflammatory dermatological disorder. The characteristic symptoms include scaling, erythema, and itching, which occur most often on the scalp, face, chest, back, axilla, and groin. Its incidence peaks during three age periods: in the first three months of life, during puberty, and in adulthood with an apex at 40 to 60 years of age. The cause of SD is unknown and the disease seems to be multifactorial. Malassezia yeasts are considered to play an important role. They cause an inflammatory reaction that seems to be mediated by free fatty acids, released from sebaceous triglycerides by fungal enzymes such as lipases. The lipid layer of Malassezia can also modulate pro-inflammatory cytokine production by keratinocytes. Although it can be associated with human immunodeficiency virus infection and neurologic disease (e.g., cerebrovascular event, Parkinson disease), SD typically occurs in healthy persons. Its prevalence is 1% to 3% in the general population and 34% to 83% in immunocompromised persons. Topical antifungal agents are the first-line therapy for acute and long-term treatment of SD of the face and body. Treatment includes over-the-counter shampoos and topical antifungals, calcineurin inhibitors, and corticosteroids.",Skin and connective tissue disease,Hydrocortisone butyrate
H01635,D01862,Hyperlipidemia,"Dyslipidemia is a condition characterized by either an increase or decrease in concentration of lipids in the blood. Hyperlipidemia, which refers to an increase in cholesterol, triglyceride (TG), or both, is the most common form of dyslipidemia. Hyperlipidemias can be classified as familial (also called primary) caused by an inherited gene mutation, or acquired (also called secondary) when resulting from underlying disorders that lead to alterations in plasma lipid and lipoprotein metabolism. The causes of acquired hyperlipidemia include dietary, alcohol intake, oral contraceptives, diabetes mellitus, and pharmacological agents (e.g., retinoic acid derivatives, steroids, and beta-blockers). Familial hyperlipidemias are classified according to the Fredrickson classification (hyperlipoproteinemia types I to V) which is based on lipoprotein analyses by electrophoresis or ultracentrifugation. It was later adopted by the World Health Organization (WHO). Hyperlipidemias are also classified according to which types of lipids are elevated. Hypercholesterolemia, hypertriglyceridemia, and combined hyperlipidemia refer to elevations involving the major cholesterol-rich lipoproteins (LDL), triglyceride-rich lipoproteins (VLDL), and both, respectively.",Metabolic disease,Pitavastatin calcium
H01633,D00405,High blood pressure,"High blood pressure (hypertension) is the most frequent classic cardiovascular risk factor and accounts for a large proportion of cardiovascular mortality, the main cause of death worldwide. Hypertension is generally classified as primary (essential) or secondary. Essential hypertension (EH) is the most common diagnosis in this disease, suggesting that a monocausal etiology has not been identified. However, a number of risk factors associated with EH have also been identified such as age, sex, demographic, environmental, genetic, and vascular factors. Secondary hypertension generally has an earlier age at onset, no family history, and a clear cause such as a renal or endocrine disorder, or an iatrogenic trigger, such as use of oral contraceptives. Blood pressure is a heritable trait; an estimated 30% of variance in blood pressure relates to genetic factors. Understanding of the genetic architecture of traits has progressed in rare mendelian hypertensive phenotypes, such as Gordon's syndrome.",Cardiovascular disease,Methyldopa
H01649,D00458,Schizophrenia,"Schizophrenia is a common serious psychotic illness that typically emerges in late adolescence and early adulthood. It is characterized by hallucinations and delusions (commonly known as positive symptoms), social withdrawal, alogia, and flat affect (negative symptoms), and cognitive disabilities. While treatments exist for the psychotic symptoms of schizophrenia, there is no effective therapy to prevent the cognitive impairments. The disorder is substantially heritable, but expression of the clinical phenotype is likely to involve the interplay of multiple susceptibility variants, epigenetic factors, and environmental influences. Although it has been suggested that many of the promising candidate genes are involved in the development and maintenance of synaptic function, the most of them remains to be identified. The pathogenic mechanisms underlying schizophrenia are unknown, but observers have repeatedly noted pathological features involving excessive loss of gray matter and reduced numbers of synaptic structures on neurons. Recently, it has been found that alleles of the C4 genes are associated with schizophrenia in proportion to their tendency to promote greater expression of C4A in the brain.",Mental and behavioural disorder,Quetiapine fumarate
H00003,D05029,Acute myeloid leukemia,"Acute myeloid leukemia (AML) is a disease that is characterized by uncontrolled proliferation of clonal neoplastic cells and accumulation in the bone marrow of blasts with an impaired differentiation program. AML accounts for approximately 80% of all adult leukemias and remains the most common cause of leukemia death. Two major types of genetic events have been described that are crucial for leukemic transformation. A proposed necessary first event is disordered cell growth and upregulation of cell survival genes. The most common of these activating events were observed in the RTK Flt3, in N-Ras and K-Ras, in Kit, and sporadically in other RTKs. Alterations in myeloid transcription factors governing hematopoietic differentiation provide second necessary event for leukemogenesis. Transcription factor fusion proteins such as PML-RARalpha (in Acute promyelocytic leukemia, a subtype of AML), AML-ETO or PLZF-RARalpha block myeloid cell differentiation by repressing target genes. In other cases, the transcription factors themselves are mutated.",Cancer,Midostaurin
H00354,D02184,Syphilis,"Syphilis is one of the oldest recognized venereal infections caused by the spirochete Treponema pallidum subsp. pallidum. It is characterized by genital ulceration, skin rash, and development of serious systemic disease. Syphilis may also alter the course of HIV disease. Effective therapy is available but the incidence is increasing in many parts of the world.",Infectious disease,Erythromycin stearate
H01694,D00473,Stevens-Johnson syndrome,"Stevens Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN) are severe acute mucocutaneous diseases. The early stage of the disease is characterized by red-purple maculopapular eruptions. Then epidermal separation occurs and vesicles and bullae are formed. Inflammatory changes including purulent conjunctivitis, erosion, ulcer and crusts may be observed in the eye, mouth, nose, pharynx, esophagus, trachea, gastrointestinal tract, urinary tract and genital mucosae. Life-threatening bleeding and infections may be observed as a result of these changes. The rates of severe complications or sequelae secondary to SJS and TEN are higher in patients with mucosal and ophthalmic involvement. The SJS and TEN are considered the same disease process, and the distinction is made based on body surface area involvement. The SJS is characterized by less than 10% of the body surface area of epidermal detachment, and TEN by more than 30%. Various etiologic factors have been implicated as causes of SJS-TEN. These include infection, vaccination, drugs, systemic diseases, physical agents, and food. Drugs are the most commonly blamed. It has been reported that SJS-TEN is strongly associated with the specific variants of the human leukocyte antigen HLA-A and HLA-B genes. There is still no consensus on a definite treatment method for SJS-TEN. Systemic steroids and IVIG are used most frequently in medical treatment and treatment options including cyclosporine, plasmapheresis and hemodialysis are required more rarely.",Skin and connective tissue disease,Prednisone
H00362,D01426,Giardiasis,"Giardiasis is one of the most common parasite-induced diarrhea caused by the protozoan parasite Giardia lamblia. Infection is transmitted by ingestion of contaminated water or food, or by person-to-person contact, affecting children, pregnant women, the immunocompromised individuals, and people living with poor sanitation facilities.",Infectious disease,Tinidazole
H01522,D00355,Zollinger-Ellison syndrome,"Zollinger-Ellison syndrome (ZES) is a rare endocrinopathy caused by tumors of the pancreas and duodenum. These tumors, called gastrinomas, release gastrin to produce large amounts of acid that result in severe gastroesophageal peptic ulcer disease and diarrhea. Most ZES cases are sporadic, but about over 20 percent are caused by an inherited genetic disorder called multiple endocrine neoplasia type 1 (see H00247). The clinical presentation is not specific for this disease and there is overlap of symptoms similar to those of a peptic ulcer. The most common symptoms include abdominal pain and diarrhea, sometimes accompanied by heartburn, nausea, and weight loss. Peptic ulceration complicated by bleeding is present in 25% of patients, and is more frequently in patients with sporadic ZES than in those with MEN1. In addition, the gastrinomas may be cancerous. The cancer can be spread to other parts of the body, most commonly to regional lymph nodes and the liver. The treatment of the ZES includes surgical removal and medical management of gastric acid hypersecretion for the prevention of malignant transformation and the genesis of complications.",Endocrine and metabolic disease,Lansoprazole
H00361,D02262,Malaria,"Malaria, the most common parasitic disease in the world, is caused by Plasmodium parasites that are transmitted by female Anopheline mosquitoes. Plasmodium infections result in a spectrum of clinical effects, including asymptomatic parasitemia, severe malaria, and death. Most severe cases occur in sub-Saharan Africa. In severe malaria, complications such as anemia, respiratory distress, renal failure, and cerebral malaria are observed in addition to cyclical fevers.",Infectious disease,Quinine sulfate
H01624,D02716,Postherpetic neuralgia,"Herpes zoster (HZ) presents as a rash of 2-3 weeks duration in immunocompetent patients that is accompanied by moderate or severe pain. In some patients, pain does not resolve when the rash heals but continues for weeks and, sometimes, for months or years; this phenomenon is known as postherpetic neuralgia (PHN). PHN is the most troublesome side effect associated with HZ.",Infectious disease,Pregabalin
H01176,D01157,Uncomplicated urinary tract infection,"Staphylococci are widespread as commensals of humans and animals where they colonize the skin or mucous membranes. Staphylococcus saprophyticus is a coagulase-negative Staphylococcus, gram-positive uropathogen and frequently isolated from young female outpatients presenting with uncomplicated urinary tract infections. S. saprophyticus causes uncomplicated urinary tract infection (UTI) but no severe bacterial infectious disease as caused by S. aureus. The urease of S. saprophyticus is known to be a virulent factor for the persistent infection in the urinary tract. All of the virulence factors of S. aureus, such as coagulase, hemolysins, enterotoxins, extracellular matrixbinding proteins, and exoenzymes, are absent in the S. saprophyticus genome. Besides S. saprophyticus is a leading gram-positive uropathogen of uncomplicated UTI, a restricted group of gram-negative bacteria, including Escherichia coli, Proteus mirabilis, and Klebsiella spp. is often observed to cause uncomplicated UTI.",Infectious disease,Cefepime hydrochloride
H00056,D03822,Alzheimer disease,"Alzheimer disease (AD) is a chronic disorder that slowly destroys neurons and causes serious cognitive disability. AD is associated with senile plaques and neurofibrillary tangles (NFTs). Amyloid-beta (Abeta), a major component of senile plaques, has various pathological effects on cell and organelle function. To date genetic studies have revealed four genes that may be linked to autosomal dominant or familial early onset AD (FAD). These four genes include: amyloid precursor protein (APP), presenilin 1 (PS1), presenilin 2 (PS2) and apolipoprotein E (ApoE). All mutations associated with APP and PS proteins can lead to an increase in the production of Abeta peptides, specfically the more amyloidogenic form, Abeta42. It was proposed that Abeta form Ca2+ permeable pores and bind to and modulate multiple synaptic proteins, including NMDAR, mGluR5 and VGCC, leading to the overfilling of neurons with calcium ions. Consequently, cellular Ca2+ disruptions will lead to neuronal apoptosis, autophagy deficits, mitochondrial abnormality, defective neurotransmission, impaired synaptic plasticity and neurodegeneration in AD. FAD-linked PS1 mutation downregulates the unfolded protein response and leads to vulnerability to ER stress.",Neurodegenerative disease,Rivastigmine
H01328,D00350,Aspergillosis,"Pulmonary aspergillus infections can be classified based on clinical syndromes into saprophytic infections, allergic disease and invasive disease. Invasive pulmonary aspergillosis, occurring in immunocompromised patients, reflects the most serious disease with a high case-fatality rate. Of the 185 recognized species of Aspergillus, 20 are known to cause infections in humans. Aspergillus fumigatus accounts for about 65 percent of all invasive infections in humans and is the mostly encountered species in pulmonary infections. Aspergillus flavus, Aspergillus niger, Aspergillus terreus and Aspergillus nidulans are less frequently causes of invasive and pulmonary infections.",Infectious disease,Itraconazole
H00003,D00287,Acute myeloid leukemia,"Acute myeloid leukemia (AML) is a disease that is characterized by uncontrolled proliferation of clonal neoplastic cells and accumulation in the bone marrow of blasts with an impaired differentiation program. AML accounts for approximately 80% of all adult leukemias and remains the most common cause of leukemia death. Two major types of genetic events have been described that are crucial for leukemic transformation. A proposed necessary first event is disordered cell growth and upregulation of cell survival genes. The most common of these activating events were observed in the RTK Flt3, in N-Ras and K-Ras, in Kit, and sporadically in other RTKs. Alterations in myeloid transcription factors governing hematopoietic differentiation provide second necessary event for leukemogenesis. Transcription factor fusion proteins such as PML-RARalpha (in Acute promyelocytic leukemia, a subtype of AML), AML-ETO or PLZF-RARalpha block myeloid cell differentiation by repressing target genes. In other cases, the transcription factors themselves are mutated.",Cancer,Cyclophosphamide
H00005,D09314,Chronic lymphocytic leukemia,"Chronic lymphocytic leukemia (CLL) is caused by the abnormal progressive accumulation of functionally incompetent monoclonal B-lymphocytes in blood, bone marrow, lymph nodes and spleen. It is the most common adult leukemia in Western countries, accounting for about 30% of total leukaemias. Worldwide there are approximately 180,000 new cases every year. A main focus in CLL research involved the evaluation of genetic features related to somatic gene mutation or deletions that disrupt apoptosis and enhance tumor cell proliferation. The best characterized genes are TP53 (also known as p53) and ATM, for which mutations and/or deletions have been described that predict rapid disease progression, resistance to conventional therapies and poor survival.",Cancer,Ofatumumab
H02429,D02500,Actinic keratosis,"Actinic keratosis (AK) is a common cutaneous lesion associated with chronic exposure to ultraviolet (UV) radiation. AK presents scaly, erythematous papule or plaque and is considered the earliest clinically recognizable manifestation of squamous cell carcinoma.",Skin disease,Imiquimod
H00002,D02698,T-cell acute lymphoblastic leukemia,"Acute lymphocytic leukemia (ALL) is a clonal stem cell malignancy of excessive lymphoblast proliferation. It is now understood that ALL and lymphoblastic lymphoma are the same disease entities at the morphologic and immunophenotypic levels and classified as either B- and T-cell lymphoblastic leukemia/lymphoma (B-ALL and T-ALL). T-ALL comprises 15% of paediatric and 25% of adult ALL cases. T cell transformation is a multi-step process in which different genetic alterations cooperate to alter the normal mechanisms that control cell growth, proliferation, survival, and differentiation during thymocyte development. In this context, constitutive activation of NOTCH1 signaling is the most prominent oncogenic pathway in T cell transformation. In addition, T-ALLs characteristically show the translocation and aberrant expression of transcription factor oncogenes. These oncogenic transcription factors include T-cell leukaemia homeobox protein 1 (TLX1 also known as HOX11), TLX3 (HOX11L2), LYL1, TAL1 and MLL.",Cancer,Teniposide
H01634,D01984,Peptic ulcer,"Peptic ulcer is a common disorder of gastrointestinal system characterized by mucosal damage secondary to pepsin and gastric acid secretion. It usually occurs in the stomach and proximal duodenum. Typical symptoms include episodic burning epigastric pain, loss of appetite, and weight loss. Pain usually occurs two to five hours after meals or on an empty stomach. The most common causes of peptic ulcer are Helicobacter pylori infection and use of nonsteroidal anti-inflammatory drugs (NSAIDs). Smoking increases the risk of ulcer recurrence and slows healing. Most patients are treated successfully with eradication of H. pylori and/or avoidance of NSAIDs, along with the appropriate use of antisecretory therapy. About 25 percent of patients with peptic ulcer have a serious complication such as hemorrhage, perforation, or gastric outlet obstruction. Administration of proton pump inhibitors (PPIs) and endoscopic therapy control most bleeds.",Digestive system disease,Esomeprazole magnesium
H01615,D09948,Irritable bowel syndrome,"Irritable bowel syndrome (IBS) is a common functional gastrointestinal disorder. It is characterized by symptoms of abdominal pain, bloating, and abnormal bowel movements, such as diarrhea or constipation. In IBS, there appears to be no organic substance or biochemical abnormality that can explain the symptoms. IBS can be classified into categories: constipation predominant IBS (IBS-C), diarrhea predominant IBS (IBS-D), mixed IBS (IBS-M), and un-subtyped IBS. Anticholinergic drugs, 5-HT3 receptor antagonist, high molecular weight polymers (polycarbophil calcium), gastrointestinal motility regulators, probiotics preparations, and laxatives are used in the treatment of IBS. However, they are not uniformly effective. Several studies of patients with IBS suggest that this disorder aggregates in families, and thus, appears potentially heritable. It has been reported that familial GUCY2C diarrhoea syndrome shares clinical characteristics with IBS-D.",Digestive system disease,Plecanatide
H01653,D04820,Bipolar disorder,"Bipolar disorder, previously known as manic depressive illness, is a severe chronic mood disorder, characterized by the recurrence of mania (hypomania), depression, or mixed episodes. It is one of the main causes of disability among young people, leading to cognitive and functional impairment and raised mortality, particularly death by suicide. Mania is the most characteristic phase of bipolar disorder. While mood elevation and euphoria are commonly described phenotypic descriptors of mania, irritability and anger may dominate. At the present time, there is solid evidence supporting the use of lithium, the anticonvulsants valproate and carbamazepine, and some antipsychotics in mania. Manic or hypomanic episodes differ in severity and length. In a hypomanic episode, a disturbance in functioning can be seen by others but does not typically cause severe impairment or require admission to hospital. At onset, most patients with bipolar disorder present with a depressive episode that differs subtly from unipolar depression. The first step in the management of bipolar disorder is to confirm the diagnosis of mania or hypomania and define the patient's mood state, because the therapeutic approach differs considerably for hypomania, mania, depression, and euthymia. While effective pharmacological treatments exist for bipolar disorder, the pathophysiology of the condition essentially remains unknown. Although bipolar disorder is one of the most heritable psychiatric disorders, a multifactorial model in which gene and environment interact is currently thought to best fit this disorder. Many risk alleles of small effect which are described in genome-wide association studies, contribute to the polygenic risk of bipolar disorder. It is suggested that the dopaminergic system may play a central role in bipolar disorder, although no singular dysfunction of neurotransmitter systems has been identified.",Mental and behavioural disorder,Lurasidone hydrochloride
H01633,D08865,High blood pressure,"High blood pressure (hypertension) is the most frequent classic cardiovascular risk factor and accounts for a large proportion of cardiovascular mortality, the main cause of death worldwide. Hypertension is generally classified as primary (essential) or secondary. Essential hypertension (EH) is the most common diagnosis in this disease, suggesting that a monocausal etiology has not been identified. However, a number of risk factors associated with EH have also been identified such as age, sex, demographic, environmental, genetic, and vascular factors. Secondary hypertension generally has an earlier age at onset, no family history, and a clear cause such as a renal or endocrine disorder, or an iatrogenic trigger, such as use of oral contraceptives. Blood pressure is a heritable trait; an estimated 30% of variance in blood pressure relates to genetic factors. Understanding of the genetic architecture of traits has progressed in rare mendelian hypertensive phenotypes, such as Gordon's syndrome.",Cardiovascular disease,Azilsartan kamedoxomil
H01611,D00131,Alcohol dependence,"Alcohol dependence (AD) is a chronic but often disease that includes problems in controlling one's drinking, being preoccupied with alcohol, continuing to use alcohol even when it causes problems, having to drink more to get the same effect (physical dependence), or having withdrawal symptoms when one rapidly decreases or stops drinking. The contribution of genetic factors to the development of AD is high. The best classical candidate genes for AD are alcohol dehydrogenase (ADH) and aldehyde dehydrogenase (ALDH). Both genes are involved in enzymatic degradation of alcohol. Recent genome-wide association studies (GWAS) have reported that the most robust associations for AD have been with such enzyme genes, especially ALDH2 in East Asian populations and ADH1B in European American and African American populations.",Mental and behavioural disorder,Disulfiram
H01091,D00368,Enterobiasis,Enterobiasis is one of the most widespread parasitic nematode infections caused by Enterobius vermicularis that commonly referred to as pinworm. This infection is usually associated with pruritis in the perianal region.,Infectious disease,Mebendazole
H00019,D04023,Pancreatic cancer,"Infiltrating ductal adenocarcinoma is the most common malignancy of the pancreas. When most investigators use the term 'pancreatic cancer' they are referring to pancreatic ductal adenocarcinoma (PDA). Normal duct epithelium progresses to infiltrating cancer through a series of histologically defined precursors (PanINs). The overexpression of HER-2/neu and activating point mutations in the K-ras gene occur early, inactivation of the p16 gene at an intermediate stage, and the inactivation of p53, SMAD4, and BRCA2 occur relatively late. Activated K-ras engages multiple effector pathways. Although EGF receptors are conventionally regarded as upstream activators of RAS proteins, they can also act as RAS signal transducers via RAS-induced autocrine activation of the EGFR family ligands. Moreover, PDA shows extensive genomic instability and aneuploidy. Telomere attrition and mutations in p53 and BRCA2 are likely to contribute to these phenotypes. Inactivation of the SMAD4 tumour suppressor gene leads to loss of the inhibitory influence of the transforming growth factor-beta signalling pathway.",Cancer,Erlotinib hydrochloride
H01316,D10169,Dermatophytosis,"Dermatophytosis (tinea, ringworm) is an infection of keratinized structures, such as the hair, skin or nails caused by dermatophyte fungi of the genera Trichophyton, Epidermophyton or Microsporum. Tinea capitis, tinea pedis and onychomycosis are common dermatologic diseases that may result from such an infection. Dermatophytes are transmitted by direct contact with infected individuals, animals and soil or by indirect contact with contaminated fomites.",Infectious disease,Tavaborole
H01655,D02994,Granulomatosis with polyangiitis,"Granulomatosis with polyangitis (GPA) is an idiopathic, systemic inflammatory disease characterized by necrotizing granulomatous inflammation and pauci-immune small- vessel vasculitis of upper and lower respiratory tract and kidneys. The discovery of anti-neutrophil cytoplasmic antibodies (ANCAs) as a marker associated with GPA focused attention on the potential pathogenic role of these antibodies. Although ANCAs have been described that recognise a variety of myeloid antigens, only antibodies that react with proteinase 3 (Pr3) and myeloperoxidase (MPO) have consistently been linked to vasculitis syndromes. Pr3-ANCA is the predominant autoantibody found in patients with GPA. The discovery of ANCA has made the diagnosis of this disease even more possible but there is almost always a need to confirm the diagnosis via histological examination of the lesional tissue.",Skin and connective tissue disease,Rituximab
H00005,D10560,Chronic lymphocytic leukemia,"Chronic lymphocytic leukemia (CLL) is caused by the abnormal progressive accumulation of functionally incompetent monoclonal B-lymphocytes in blood, bone marrow, lymph nodes and spleen. It is the most common adult leukemia in Western countries, accounting for about 30% of total leukaemias. Worldwide there are approximately 180,000 new cases every year. A main focus in CLL research involved the evaluation of genetic features related to somatic gene mutation or deletions that disrupt apoptosis and enhance tumor cell proliferation. The best characterized genes are TP53 (also known as p53) and ATM, for which mutations and/or deletions have been described that predict rapid disease progression, resistance to conventional therapies and poor survival.",Cancer,Idelalisib
H00612,D01025,Primary open angle glaucoma,"Primary open angle glaucoma (POAG) is the most prevalent form of glaucoma, and a major cause of irreversible blindness. POAG is often accompanied by ocular hypertension and characterized by progressive loss of retinal ganglion cells, atrophy of the optic nerve, and visual field loss. To date, at least 20 genetic loci for POAG have been reported. And four causative genes (CYP1B1, MYOC, OPTN, and WDR36) are identified from these loci. In addition, recently, heterozygous NTF4 mutation was associated with the phenotype in a small percentage of patients.",Nervous system disease,Levobunolol hydrochloride
H01293,D02074,Narcolepsy,"Narcolepsy is a disabling sleep disorder characterized by irresistible excessive daytime sleepiness and cataplexy, a condition triggered by strong emotions leading to a sudden loss of muscle tone. Narcolepsy is a rare and mainly sporadic disorder. Familial narcolepsy accounts for less than 10% of all narcolepsy cases, and causative mutations have not been identified to date. The discovery of hypocretin-1 (HCRT) deficiency shed light on the underlying pathophysiology of the disease. The hypocretin neurotransmission system was shown to play a major role in controlling vigilance states. Because of the strong HLA association, hypocretin deficiency is believed to be caused by an autoimmune attack. It has also been reported that a missense mutation in myelin oligodendrocyte glycoprotein (MOG) is the cause of narcolepsy.",Nervous system disease,Amphetamine sulfate
H00002,D01275,T-cell acute lymphoblastic leukemia,"Acute lymphocytic leukemia (ALL) is a clonal stem cell malignancy of excessive lymphoblast proliferation. It is now understood that ALL and lymphoblastic lymphoma are the same disease entities at the morphologic and immunophenotypic levels and classified as either B- and T-cell lymphoblastic leukemia/lymphoma (B-ALL and T-ALL). T-ALL comprises 15% of paediatric and 25% of adult ALL cases. T cell transformation is a multi-step process in which different genetic alterations cooperate to alter the normal mechanisms that control cell growth, proliferation, survival, and differentiation during thymocyte development. In this context, constitutive activation of NOTCH1 signaling is the most prominent oncogenic pathway in T cell transformation. In addition, T-ALLs characteristically show the translocation and aberrant expression of transcription factor oncogenes. These oncogenic transcription factors include T-cell leukaemia homeobox protein 1 (TLX1 also known as HOX11), TLX3 (HOX11L2), LYL1, TAL1 and MLL.",Cancer,Doxorubicin hydrochloride
H00019,D09730,Pancreatic cancer,"Infiltrating ductal adenocarcinoma is the most common malignancy of the pancreas. When most investigators use the term 'pancreatic cancer' they are referring to pancreatic ductal adenocarcinoma (PDA). Normal duct epithelium progresses to infiltrating cancer through a series of histologically defined precursors (PanINs). The overexpression of HER-2/neu and activating point mutations in the K-ras gene occur early, inactivation of the p16 gene at an intermediate stage, and the inactivation of p53, SMAD4, and BRCA2 occur relatively late. Activated K-ras engages multiple effector pathways. Although EGF receptors are conventionally regarded as upstream activators of RAS proteins, they can also act as RAS signal transducers via RAS-induced autocrine activation of the EGFR family ligands. Moreover, PDA shows extensive genomic instability and aneuploidy. Telomere attrition and mutations in p53 and BRCA2 are likely to contribute to these phenotypes. Inactivation of the SMAD4 tumour suppressor gene leads to loss of the inhibitory influence of the transforming growth factor-beta signalling pathway.",Cancer,Olaparib
H01362,D00978,Dermatitis herpetiformis,"Dermatitis herpetiformis (DH) is a chronic, polymorphic, pruritic skin disease that develops mostly in patients with latent gluten-sensitive enteropathy. There is an association with the genotypes HLA DR3, HLA DQw2, found in 80-90% of cases. Owing to the granular immunoglobulin (Ig) A deposition at the tips of the papillary dermis and to the subepidermal blister formation associated with neutrophilic accumulations underlying the basement membrane, DH is considered to be an autoimmune blistering disease.",Immune system disease,Hydrocortisone sodium succinate
H00845,D10941,Familial amyloidosis,"The amyloidoses are a group of diseases in which proteins that are normally soluble deposit extracellularly in tissues as insoluble fibrils. The fibrils have a characteristic beta-pleated sheet configuration that renders them avid for Congo red dye. In the familial amyloidoses, a gene mutation inherited in an autosomal-dominant manner results in a single amino acid substitution that renders a plasma protein amyloidogenic. Mutations in the TTR gene are the most common cause of familial amyloidosis. The clinical features of familial amyloidosis vary depending on the underlying amyloidogenic protein and the particular amino acid affected by the mutation, ranging from peripheral and autonomic neuropathy to cardiomyopathy.",Nervous system disease,Inotersen sodium
H01714,D10744,Chronic obstructive pulmonary disease (COPD),"Chronic obstructive pulmonary disease (COPD) is a representative chronic inflammatory disorder of the lungs that includes chronic bronchitis and emphysema. COPD is characterized by airway inflammation and progressive airflow obstruction, most commonly caused by cigarette smoking. The major symptoms of which patients complain are cough, breathlessness, and sputum production. COPD is associated with underlying inflammation in response to chronic exposure to noxious particulates and gases and with a number of comorbid conditions. The onset of COPD generally occurs in the 6th to 8th decades of life. Early onset COPD is defined as disease onset before the age of 50 years, irrespective of smoking history. The presence of persons with early onset, severely reduced pulmonary function suggests that individuals may vary in their genetic susceptibility to the effects of smoking. Alpha-1-antitrypsin deficiency is the only proven genetic risk factor for COPD. Bronchodilators are the mainstay of treatment since they improve lung function and reduce acute exacerbations. Long-acting inhaled bronchodilators are recommended as first line treatment for patients with persistent symptoms.",Lung disease,Tiotropium and olodaterol
H00323,D00290,Spotted fever,"Tick-borne rickettsioses are caused by gram-negative obligate intracellular bacteria belonging to the spotted fever group (SFG) of the genus Rickettsia within the family Rickettsiaceae in the order Rickettsiales. The diseases present with high fever, an inoculation eschar, and a maculopapular rash.",Infectious disease,Demeclocycline hydrochloride
H01621,D02721,Pulmonary arterial hypertension,"Pulmonary arterial hypertension (PAH) is a progressive disorder in which endothelial dysfunction and vascular remodeling obstruct small pulmonary arteries, resulting in increased pulmonary vascular resistance and pulmonary pressures. This leads to reduced cardiac output, right heart failure, and ultimately death. PAH is divided into disease subgroups that include heritable (HPAH, formerly familial PAH), idiopathic (IPAH), and PAH associated with a variety of other systemic diseases or drug/toxin exposures. It has been discovered that altered BMPR2 signaling is the major heritable risk factor for development of PAH, via rare variants (mutations) in the BMPR2 gene (coding for a type II receptor member of the transforming growth factor [TGF]-beta family). Pathogenic mutations in the type I receptor ACVRL1 and, at a significantly lower frequency, the type III receptor endoglin in multiple kindreds cause PAH associated with hereditary hemorrhagic telangiectasia (HHT). Together, these observations support a prominent role for TGF-beta family members in the development of PAH.",Cardiovascular disease,Iloprost
